CV_ID,Resume_Text,Skills,Education,Experience_Years,Job_ID,Job_Title,Required_Skills_For_The_Job,Job_Fit_Score,Outcome
cv0486,"Experienced professional skilled in SQL, Project Management, Python.","SQL, Project Management, Python",M.Tech,3,Job_348,Backend Developer,"React, Leadership",0.12,Rejected
cv0487,"Experienced professional skilled in Scrum, Python, Java, Agile.","Scrum, Python, Java, Agile",M.Tech,10,Job_324,Data Scientist,"Java, Agile, Leadership",0.8,Hired
cv0488,"Experienced professional skilled in React, Leadership, Node.js, Project Management.","React, Leadership, Node.js, Project Management",M.Sc,11,Job_265,Data Scientist,"SQL, Java, Scrum, Machine Learning",0.4,Rejected
cv0489,"Experienced professional skilled in React, Deep Learning, Machine Learning, Python, Agile, Leadership.","React, Deep Learning, Machine Learning, Python, Agile, Leadership",M.Tech,13,Job_433,Machine Learning Engineer,"Node.js, SQL, Project Management, Machine Learning",0.55,Shortlisted
cv0490,"Experienced professional skilled in Communication, Deep Learning, SQL, Project Management.","Communication, Deep Learning, SQL, Project Management",MBA,15,Job_412,Software Engineer,"Agile, SQL, C++",0.6,Shortlisted
cv0491,"Experienced professional skilled in Leadership, SQL, C++, Node.js, Python, Deep Learning.","Leadership, SQL, C++, Node.js, Python, Deep Learning",MBA,12,Job_436,Backend Developer,"Deep Learning, SQL, Machine Learning, Leadership",0.85,Hired
cv0492,"Experienced professional skilled in C++, Deep Learning, Agile, Python.","C++, Deep Learning, Agile, Python",B.Sc,1,Job_301,Project Manager,"Java, Machine Learning, Project Management, Deep Learning",0.19,Rejected
cv0493,"Experienced professional skilled in Project Management, Machine Learning, Python, Leadership.","Project Management, Machine Learning, Python, Leadership",B.Sc,11,Job_284,Data Scientist,"Agile, Java, Machine Learning, C++, Leadership",0.64,Shortlisted
cv0494,"Experienced professional skilled in Node.js, SQL, Deep Learning, Communication.","Node.js, SQL, Deep Learning, Communication",M.Sc,2,Job_268,Machine Learning Engineer,"Communication, Leadership, React",0.28,Rejected
cv0495,"Experienced professional skilled in Machine Learning, Leadership, Deep Learning, Agile, Scrum, Project Management.","Machine Learning, Leadership, Deep Learning, Agile, Scrum, Project Management",B.Tech,6,Job_267,Project Manager,"Node.js, Machine Learning, Java",0.44,Rejected
cv0496,"Experienced professional skilled in Python, Scrum, Agile, Leadership, SQL, C++.","Python, Scrum, Agile, Leadership, SQL, C++",MBA,8,Job_147,Software Engineer,"Scrum, Machine Learning",0.62,Shortlisted
cv0497,"Experienced professional skilled in Agile, Java, React.","Agile, Java, React",M.Tech,10,Job_224,Machine Learning Engineer,"Project Management, Node.js, Java, SQL",0.55,Shortlisted
cv0498,"Experienced professional skilled in SQL, Deep Learning, Java, Agile, Communication, Scrum.","SQL, Deep Learning, Java, Agile, Communication, Scrum",B.Tech,8,Job_353,Frontend Developer,"Python, Leadership, Project Management, React",0.32,Rejected
cv0499,"Experienced professional skilled in SQL, Python, Scrum, Leadership.","SQL, Python, Scrum, Leadership",B.Tech,7,Job_40,Frontend Developer,"Communication, Node.js, Python",0.48,Rejected
cv0500,"Experienced professional skilled in Node.js, Python, Java, Leadership, SQL, Agile.","Node.js, Python, Java, Leadership, SQL, Agile",MBA,15,Job_56,Machine Learning Engineer,"Scrum, Java, React",0.6,Shortlisted
cv0501,"Experienced professional skilled in Deep Learning, Java, Communication, Node.js, Machine Learning, SQL.","Deep Learning, Java, Communication, Node.js, Machine Learning, SQL",B.Sc,6,Job_297,Backend Developer,"Deep Learning, C++, Machine Learning, Agile, SQL",0.6,Shortlisted
cv0502,"Experienced professional skilled in Node.js, Communication, Agile.","Node.js, Communication, Agile",MBA,6,Job_461,Project Manager,"Machine Learning, Agile, Communication, React, Deep Learning",0.48,Rejected
cv0503,"Experienced professional skilled in Machine Learning, Communication, C++, React, Project Management, Python.","Machine Learning, Communication, C++, React, Project Management, Python",M.Sc,14,Job_449,Backend Developer,"React, Deep Learning, SQL",0.6,Shortlisted
cv0504,"Experienced professional skilled in Node.js, Deep Learning, Python, React.","Node.js, Deep Learning, Python, React",B.Sc,6,Job_158,Frontend Developer,"SQL, Java, React, Agile",0.39,Rejected
cv0505,"Experienced professional skilled in C++, SQL, Communication, Java, Python.","C++, SQL, Communication, Java, Python",M.Tech,9,Job_81,Software Engineer,"Java, Node.js, Communication, Machine Learning, React",0.6,Shortlisted
cv0506,"Experienced professional skilled in Python, SQL, C++, Leadership, Agile.","Python, SQL, C++, Leadership, Agile",M.Sc,5,Job_56,Frontend Developer,"Deep Learning, Project Management, Leadership, Machine Learning",0.35,Rejected
cv0507,"Experienced professional skilled in Project Management, Node.js, Machine Learning, Deep Learning, C++.","Project Management, Node.js, Machine Learning, Deep Learning, C++",MBA,11,Job_7,Machine Learning Engineer,"Scrum, C++, Project Management, Machine Learning, Java",0.76,Hired
cv0508,"Experienced professional skilled in Java, Communication, React, Agile, Project Management, Machine Learning.","Java, Communication, React, Agile, Project Management, Machine Learning",MBA,11,Job_496,Backend Developer,"Project Management, Python, Machine Learning, Scrum, Deep Learning",0.64,Shortlisted
cv0509,"Experienced professional skilled in Leadership, Project Management, Python, Node.js.","Leadership, Project Management, Python, Node.js",M.Tech,5,Job_306,Backend Developer,"Deep Learning, SQL, Python, Node.js",0.5,Shortlisted
cv0510,"Experienced professional skilled in Python, Java, Machine Learning, Node.js.","Python, Java, Machine Learning, Node.js",B.Tech,7,Job_232,Software Engineer,"Communication, React, Scrum, Java, C++",0.4,Rejected
cv0511,"Experienced professional skilled in Agile, Java, Deep Learning.","Agile, Java, Deep Learning",M.Sc,7,Job_272,Software Engineer,"Node.js, Machine Learning, Deep Learning, Leadership",0.43,Rejected
cv0512,"Experienced professional skilled in C++, Communication, Project Management, Scrum.","C++, Communication, Project Management, Scrum",MBA,9,Job_180,Project Manager,"C++, Node.js, Agile",0.56,Shortlisted
cv0513,"Experienced professional skilled in React, Java, Node.js, SQL.","React, Java, Node.js, SQL",M.Sc,2,Job_156,Machine Learning Engineer,"Agile, Scrum, React, Java",0.38,Rejected
cv0514,"Experienced professional skilled in Node.js, Java, Python, Project Management, SQL.","Node.js, Java, Python, Project Management, SQL",M.Tech,9,Job_173,Project Manager,"Scrum, C++, Python",0.56,Shortlisted
cv0515,"Experienced professional skilled in Communication, Project Management, C++, Leadership, Machine Learning, SQL.","Communication, Project Management, C++, Leadership, Machine Learning, SQL",MBA,10,Job_492,Software Engineer,"Communication, Agile, React, SQL, Deep Learning",0.64,Shortlisted
cv0516,"Experienced professional skilled in Deep Learning, Python, SQL, Agile, React.","Deep Learning, Python, SQL, Agile, React",M.Sc,12,Job_351,Backend Developer,"Deep Learning, Agile, Python, Leadership",0.85,Hired
cv0517,"Experienced professional skilled in Project Management, C++, Scrum, React, Machine Learning, Deep Learning.","Project Management, C++, Scrum, React, Machine Learning, Deep Learning",MBA,4,Job_315,Project Manager,"Node.js, C++",0.46,Rejected
cv0518,"Experienced professional skilled in Leadership, Node.js, Deep Learning.","Leadership, Node.js, Deep Learning",M.Tech,3,Job_346,Software Engineer,"Machine Learning, Node.js, React, C++",0.27,Rejected
cv0519,"Experienced professional skilled in C++, Java, Node.js.","C++, Java, Node.js",M.Tech,14,Job_139,Software Engineer,"Agile, Leadership, Deep Learning",0.4,Rejected
cv0520,"Experienced professional skilled in Agile, Node.js, Python.","Agile, Node.js, Python",M.Tech,4,Job_55,Data Scientist,"Node.js, SQL, C++, React",0.31,Rejected
cv0521,"Experienced professional skilled in Machine Learning, SQL, Leadership.","Machine Learning, SQL, Leadership",M.Sc,6,Job_203,Data Scientist,"Python, React, Project Management",0.24,Rejected
cv0522,"Experienced professional skilled in Project Management, SQL, Java, Agile, Communication.","Project Management, SQL, Java, Agile, Communication",B.Tech,5,Job_89,Backend Developer,"Python, React",0.2,Rejected
cv0523,"Experienced professional skilled in SQL, Machine Learning, Scrum, Deep Learning, Leadership, Project Management.","SQL, Machine Learning, Scrum, Deep Learning, Leadership, Project Management",MBA,12,Job_399,Frontend Developer,"Communication, Java, Python, React, Machine Learning",0.52,Shortlisted
cv0524,"Experienced professional skilled in React, Node.js, SQL.","React, Node.js, SQL",MBA,10,Job_22,Backend Developer,"Scrum, Communication, Node.js",0.6,Shortlisted
cv0525,"Experienced professional skilled in Project Management, Agile, Communication, Scrum, SQL, React.","Project Management, Agile, Communication, Scrum, SQL, React",M.Tech,2,Job_475,Project Manager,"Leadership, Python, Agile, SQL",0.38,Rejected
cv0526,"Experienced professional skilled in Project Management, Python, Agile, Machine Learning.","Project Management, Python, Agile, Machine Learning",B.Sc,9,Job_301,Software Engineer,"Machine Learning, Python, Leadership",0.76,Hired
cv0527,"Experienced professional skilled in Node.js, Python, Machine Learning, Project Management.","Node.js, Python, Machine Learning, Project Management",B.Sc,8,Job_442,Machine Learning Engineer,"React, Agile, Scrum, Leadership, Node.js",0.44,Rejected
cv0528,"Experienced professional skilled in Leadership, Project Management, React, Agile.","Leadership, Project Management, React, Agile",B.Tech,13,Job_393,Software Engineer,"Communication, Node.js, Deep Learning, Agile, Java",0.52,Shortlisted
cv0529,"Experienced professional skilled in Machine Learning, C++, Communication.","Machine Learning, C++, Communication",B.Tech,10,Job_281,Machine Learning Engineer,"Agile, Java",0.4,Rejected
cv0530,"Experienced professional skilled in Machine Learning, Node.js, Java, Scrum, Agile.","Machine Learning, Node.js, Java, Scrum, Agile",MBA,13,Job_242,Backend Developer,"Node.js, Project Management, SQL",0.6,Shortlisted
cv0531,"Experienced professional skilled in Python, Machine Learning, Project Management, C++, Agile, Leadership.","Python, Machine Learning, Project Management, C++, Agile, Leadership",M.Sc,6,Job_183,Project Manager,"Deep Learning, Python, C++",0.64,Shortlisted
cv0532,"Experienced professional skilled in Java, Communication, React, Node.js, Project Management, Agile.","Java, Communication, React, Node.js, Project Management, Agile",MBA,2,Job_9,Software Engineer,"Machine Learning, Java",0.38,Rejected
cv0533,"Experienced professional skilled in Java, React, Node.js.","Java, React, Node.js",B.Sc,5,Job_360,Project Manager,"Node.js, Scrum, Project Management",0.4,Rejected
cv0534,"Experienced professional skilled in Python, Java, Deep Learning, Leadership.","Python, Java, Deep Learning, Leadership",B.Tech,8,Job_301,Data Scientist,"Deep Learning, Python, SQL, Node.js",0.62,Shortlisted
cv0535,"Experienced professional skilled in Agile, React, Java, SQL.","Agile, React, Java, SQL",MBA,12,Job_410,Software Engineer,"Node.js, Scrum, Agile, Project Management",0.55,Shortlisted
cv0536,"Experienced professional skilled in SQL, Project Management, Python, Communication.","SQL, Project Management, Python, Communication",MBA,7,Job_496,Data Scientist,"Machine Learning, SQL, React",0.48,Rejected
cv0537,"Experienced professional skilled in Python, Machine Learning, Leadership.","Python, Machine Learning, Leadership",M.Sc,11,Job_138,Software Engineer,"Python, Communication",0.7,Shortlisted
cv0538,"Experienced professional skilled in Machine Learning, C++, Deep Learning, Scrum, Communication, SQL.","Machine Learning, C++, Deep Learning, Scrum, Communication, SQL",M.Tech,12,Job_395,Data Scientist,"Java, C++, Scrum, React, Node.js",0.64,Shortlisted
cv0539,"Experienced professional skilled in Python, Leadership, Node.js.","Python, Leadership, Node.js",B.Sc,11,Job_197,Software Engineer,"React, Leadership",0.7,Shortlisted
cv0540,"Experienced professional skilled in Java, Leadership, Python, Communication.","Java, Leadership, Python, Communication",M.Tech,11,Job_23,Backend Developer,"Java, Communication, C++, Scrum, Project Management",0.64,Shortlisted
cv0541,"Experienced professional skilled in SQL, Project Management, Node.js.","SQL, Project Management, Node.js",B.Sc,4,Job_465,Project Manager,"C++, SQL, Scrum, React",0.31,Rejected
cv0542,"Experienced professional skilled in Deep Learning, C++, Scrum, Agile, SQL, React.","Deep Learning, C++, Scrum, Agile, SQL, React",B.Tech,11,Job_361,Software Engineer,"Agile, React, Communication, SQL, Node.js",0.76,Hired
cv0543,"Experienced professional skilled in Python, Communication, React, Java, Deep Learning.","Python, Communication, React, Java, Deep Learning",MBA,12,Job_32,Frontend Developer,"Agile, React",0.7,Shortlisted
cv0544,"Experienced professional skilled in Node.js, Leadership, React, Machine Learning.","Node.js, Leadership, React, Machine Learning",B.Tech,1,Job_79,Software Engineer,"Node.js, React, Machine Learning",0.64,Shortlisted
cv0545,"Experienced professional skilled in Leadership, Communication, Python.","Leadership, Communication, Python",M.Tech,3,Job_379,Data Scientist,"Leadership, Communication, Deep Learning, Python, Agile",0.48,Rejected
cv0546,"Experienced professional skilled in Agile, Python, React.","Agile, Python, React",M.Sc,9,Job_46,Project Manager,"Machine Learning, Java, React, C++, SQL",0.48,Rejected
cv0547,"Experienced professional skilled in C++, React, Java, Deep Learning, Project Management, Scrum.","C++, React, Java, Deep Learning, Project Management, Scrum",B.Tech,13,Job_337,Data Scientist,"Agile, Deep Learning, Machine Learning, Leadership, Node.js",0.52,Shortlisted
cv0548,"Experienced professional skilled in SQL, Machine Learning, Java.","SQL, Machine Learning, Java",B.Sc,10,Job_375,Machine Learning Engineer,"Machine Learning, Agile, Scrum, Communication",0.55,Shortlisted
cv0549,"Experienced professional skilled in Deep Learning, Project Management, Scrum, Agile, Python, SQL.","Deep Learning, Project Management, Scrum, Agile, Python, SQL",B.Sc,11,Job_120,Machine Learning Engineer,"C++, Communication, Project Management",0.6,Shortlisted
cv0550,"Experienced professional skilled in C++, Agile, Java.","C++, Agile, Java",B.Tech,10,Job_25,Machine Learning Engineer,"React, Communication",0.4,Rejected
cv0551,"Experienced professional skilled in Machine Learning, Communication, Java.","Machine Learning, Communication, Java",M.Sc,9,Job_426,Backend Developer,"Java, Deep Learning, Machine Learning, Communication, Node.js",0.72,Shortlisted
cv0552,"Experienced professional skilled in Machine Learning, Python, Java, SQL, C++, Node.js.","Machine Learning, Python, Java, SQL, C++, Node.js",B.Sc,8,Job_328,Frontend Developer,"C++, Machine Learning",0.92,Hired
cv0553,"Experienced professional skilled in C++, Node.js, SQL, Scrum, Python.","C++, Node.js, SQL, Scrum, Python",M.Tech,14,Job_448,Data Scientist,"SQL, Deep Learning, Communication, C++, React",0.64,Shortlisted
cv0554,"Experienced professional skilled in Machine Learning, Java, Leadership, Scrum, Communication.","Machine Learning, Java, Leadership, Scrum, Communication",B.Sc,7,Job_67,Project Manager,"Python, Machine Learning",0.58,Shortlisted
cv0555,"Experienced professional skilled in C++, Communication, Java, Leadership, Project Management.","C++, Communication, Java, Leadership, Project Management",M.Tech,5,Job_73,Backend Developer,"Leadership, Communication, Node.js",0.6,Shortlisted
cv0556,"Experienced professional skilled in Machine Learning, Project Management, Node.js, Agile, React, Java.","Machine Learning, Project Management, Node.js, Agile, React, Java",M.Tech,1,Job_107,Project Manager,"Communication, Python, Deep Learning, C++",0.04,Rejected
cv0557,"Experienced professional skilled in React, Java, Deep Learning.","React, Java, Deep Learning",MBA,7,Job_356,Software Engineer,"React, Leadership, SQL",0.48,Rejected
cv0558,"Experienced professional skilled in React, Agile, Machine Learning, Project Management.","React, Agile, Machine Learning, Project Management",B.Tech,7,Job_480,Data Scientist,"Leadership, Scrum, Project Management, React",0.58,Shortlisted
cv0559,"Experienced professional skilled in Leadership, Communication, React, Python, Machine Learning, Node.js.","Leadership, Communication, React, Python, Machine Learning, Node.js",M.Tech,5,Job_198,Machine Learning Engineer,"C++, Machine Learning",0.5,Shortlisted
cv0560,"Experienced professional skilled in React, Leadership, Scrum, Agile, Communication.","React, Leadership, Scrum, Agile, Communication",B.Tech,9,Job_395,Frontend Developer,"Deep Learning, Scrum, Communication, SQL, Java",0.6,Shortlisted
cv0561,"Experienced professional skilled in C++, Scrum, React, Node.js, Communication.","C++, Scrum, React, Node.js, Communication",M.Tech,2,Job_478,Data Scientist,"C++, React, Deep Learning",0.48,Rejected
cv0562,"Experienced professional skilled in Scrum, React, Machine Learning, Deep Learning, Python, C++.","Scrum, React, Machine Learning, Deep Learning, Python, C++",MBA,8,Job_208,Machine Learning Engineer,"React, Machine Learning",0.92,Hired
cv0563,"Experienced professional skilled in Scrum, SQL, Agile, Node.js, Python, React.","Scrum, SQL, Agile, Node.js, Python, React",B.Tech,6,Job_14,Software Engineer,"Communication, Node.js, Java",0.44,Rejected
cv0564,"Experienced professional skilled in Node.js, React, Agile, SQL.","Node.js, React, Agile, SQL",B.Sc,3,Job_93,Project Manager,"Node.js, SQL",0.72,Shortlisted
cv0565,"Experienced professional skilled in Leadership, C++, Scrum, Project Management, Communication.","Leadership, C++, Scrum, Project Management, Communication",M.Sc,9,Job_442,Frontend Developer,"SQL, Java",0.36,Rejected
cv0566,"Experienced professional skilled in Machine Learning, React, Java, C++, Node.js.","Machine Learning, React, Java, C++, Node.js",B.Sc,11,Job_446,Software Engineer,"Leadership, Java, Agile",0.6,Shortlisted
cv0567,"Experienced professional skilled in Python, SQL, Deep Learning.","Python, SQL, Deep Learning",MBA,11,Job_408,Software Engineer,"SQL, Agile, Deep Learning, Machine Learning",0.7,Shortlisted
cv0568,"Experienced professional skilled in Agile, Deep Learning, Project Management.","Agile, Deep Learning, Project Management",B.Tech,11,Job_385,Backend Developer,"C++, Java, Leadership",0.4,Rejected
cv0569,"Experienced professional skilled in C++, Project Management, Deep Learning, Java, SQL.","C++, Project Management, Deep Learning, Java, SQL",MBA,4,Job_122,Backend Developer,"Node.js, C++, Machine Learning",0.36,Rejected
cv0570,"Experienced professional skilled in Node.js, Machine Learning, Java, Agile.","Node.js, Machine Learning, Java, Agile",M.Tech,1,Job_488,Frontend Developer,"Communication, Deep Learning",0.04,Rejected
cv0571,"Experienced professional skilled in Machine Learning, Communication, Scrum, Agile, Node.js, C++.","Machine Learning, Communication, Scrum, Agile, Node.js, C++",B.Tech,4,Job_75,Data Scientist,"Python, SQL",0.16,Rejected
cv0572,"Experienced professional skilled in Agile, Node.js, C++, SQL, Scrum.","Agile, Node.js, C++, SQL, Scrum",B.Tech,4,Job_105,Project Manager,"C++, React",0.46,Rejected
cv0573,"Experienced professional skilled in Machine Learning, Project Management, React, Leadership, Java, Node.js.","Machine Learning, Project Management, React, Leadership, Java, Node.js",MBA,4,Job_375,Project Manager,"C++, Project Management, Agile, React, Java",0.52,Shortlisted
cv0574,"Experienced professional skilled in Communication, Deep Learning, Leadership, Scrum, Python.","Communication, Deep Learning, Leadership, Scrum, Python",M.Tech,13,Job_500,Project Manager,"React, Leadership, Scrum, Deep Learning, Machine Learning",0.76,Hired
cv0575,"Experienced professional skilled in Scrum, C++, Java.","Scrum, C++, Java",B.Sc,15,Job_335,Project Manager,"Java, Project Management, C++, Leadership, Deep Learning",0.64,Shortlisted
cv0576,"Experienced professional skilled in Agile, Java, Project Management, React, C++, Communication.","Agile, Java, Project Management, React, C++, Communication",MBA,2,Job_371,Software Engineer,"Agile, Communication",0.68,Shortlisted
cv0577,"Experienced professional skilled in Node.js, Scrum, Machine Learning, Python.","Node.js, Scrum, Machine Learning, Python",MBA,4,Job_440,Backend Developer,"Communication, Leadership, Node.js, Deep Learning, Java",0.28,Rejected
cv0578,"Experienced professional skilled in Java, Scrum, Machine Learning, Project Management, C++.","Java, Scrum, Machine Learning, Project Management, C++",M.Tech,14,Job_410,Frontend Developer,"C++, Machine Learning, Scrum, Node.js",0.85,Hired
cv0579,"Experienced professional skilled in C++, React, Deep Learning, Java, SQL.","C++, React, Deep Learning, Java, SQL",MBA,2,Job_345,Software Engineer,"Scrum, React",0.38,Rejected
cv0580,"Experienced professional skilled in Communication, React, SQL, Scrum.","Communication, React, SQL, Scrum",B.Sc,7,Job_24,Frontend Developer,"SQL, Scrum, C++, Deep Learning, Node.js",0.52,Shortlisted
cv0581,"Experienced professional skilled in SQL, React, Machine Learning, Java, C++, Leadership.","SQL, React, Machine Learning, Java, C++, Leadership",B.Sc,4,Job_88,Software Engineer,"Scrum, Deep Learning",0.16,Rejected
cv0582,"Experienced professional skilled in Communication, Project Management, Machine Learning.","Communication, Project Management, Machine Learning",B.Tech,6,Job_104,Machine Learning Engineer,"Scrum, Python, Project Management",0.44,Rejected
cv0583,"Experienced professional skilled in Java, SQL, C++, Python, Machine Learning, React.","Java, SQL, C++, Python, Machine Learning, React",M.Tech,3,Job_356,Data Scientist,"Agile, Leadership, Machine Learning, Java",0.42,Rejected
cv0584,"Experienced professional skilled in Agile, Node.js, C++, Machine Learning, React, SQL.","Agile, Node.js, C++, Machine Learning, React, SQL",M.Sc,8,Job_172,Data Scientist,"Communication, C++",0.62,Shortlisted
cv0585,"Experienced professional skilled in Agile, Project Management, SQL, Python.","Agile, Project Management, SQL, Python",B.Sc,4,Job_208,Project Manager,"Java, Scrum, Machine Learning, Project Management",0.31,Rejected
cv0586,"Experienced professional skilled in Project Management, Deep Learning, Java, SQL, Python, React.","Project Management, Deep Learning, Java, SQL, Python, React",M.Sc,11,Job_391,Project Manager,"Agile, Project Management, Node.js",0.6,Shortlisted
cv0587,"Experienced professional skilled in Agile, Leadership, Machine Learning, SQL.","Agile, Leadership, Machine Learning, SQL",B.Tech,3,Job_205,Data Scientist,"Communication, Node.js, C++",0.12,Rejected
cv0588,"Experienced professional skilled in Python, Leadership, Scrum, Node.js.","Python, Leadership, Scrum, Node.js",M.Sc,14,Job_16,Project Manager,"Python, Communication, Project Management, Agile",0.55,Shortlisted
cv0589,"Experienced professional skilled in Agile, React, SQL, Machine Learning, Communication.","Agile, React, SQL, Machine Learning, Communication",M.Tech,2,Job_240,Software Engineer,"Python, C++, React, Machine Learning",0.38,Rejected
cv0590,"Experienced professional skilled in Scrum, Communication, Leadership, C++, Deep Learning, Python.","Scrum, Communication, Leadership, C++, Deep Learning, Python",B.Tech,6,Job_142,Machine Learning Engineer,"Communication, SQL, Python",0.64,Shortlisted
cv0591,"Experienced professional skilled in Leadership, Communication, Machine Learning, Python.","Leadership, Communication, Machine Learning, Python",B.Tech,14,Job_406,Software Engineer,"SQL, Scrum, Leadership, Agile",0.55,Shortlisted
cv0592,"Experienced professional skilled in Leadership, Python, Scrum, SQL, Machine Learning.","Leadership, Python, Scrum, SQL, Machine Learning",MBA,7,Job_491,Machine Learning Engineer,"Communication, Python, Agile",0.48,Rejected
cv0593,"Experienced professional skilled in Node.js, SQL, C++, Agile.","Node.js, SQL, C++, Agile",MBA,8,Job_61,Backend Developer,"SQL, Communication, Java",0.52,Shortlisted
cv0594,"Experienced professional skilled in Java, C++, Deep Learning.","Java, C++, Deep Learning",M.Tech,10,Job_22,Backend Developer,"Leadership, Python",0.4,Rejected
cv0595,"Experienced professional skilled in Deep Learning, SQL, React, Leadership, Node.js.","Deep Learning, SQL, React, Leadership, Node.js",M.Tech,3,Job_213,Machine Learning Engineer,"SQL, Project Management, Communication",0.32,Rejected
cv0596,"Experienced professional skilled in React, Communication, C++, Machine Learning, Python, Agile.","React, Communication, C++, Machine Learning, Python, Agile",M.Tech,9,Job_69,Project Manager,"Python, Deep Learning, Scrum, Machine Learning, C++",0.72,Shortlisted
cv0597,"Experienced professional skilled in Project Management, Machine Learning, C++, Leadership, Node.js, Deep Learning.","Project Management, Machine Learning, C++, Leadership, Node.js, Deep Learning",B.Tech,13,Job_305,Machine Learning Engineer,"Project Management, SQL",0.7,Shortlisted
cv0598,"Experienced professional skilled in Python, Agile, Leadership, Scrum, Node.js.","Python, Agile, Leadership, Scrum, Node.js",M.Sc,6,Job_11,Frontend Developer,"Communication, Project Management, Agile",0.44,Rejected
cv0599,"Experienced professional skilled in Leadership, Agile, Node.js, Machine Learning.","Leadership, Agile, Node.js, Machine Learning",B.Sc,5,Job_421,Software Engineer,"Communication, React, Leadership, Machine Learning, Scrum",0.44,Rejected
cv0600,"Experienced professional skilled in Deep Learning, Project Management, Communication, Python, C++, Scrum.","Deep Learning, Project Management, Communication, Python, C++, Scrum",MBA,2,Job_9,Software Engineer,"Scrum, C++, Communication, SQL",0.53,Shortlisted
cv0601,"Experienced professional skilled in Project Management, Scrum, Java, C++.","Project Management, Scrum, Java, C++",MBA,10,Job_226,Machine Learning Engineer,"Communication, Scrum, Project Management, Python, Leadership",0.64,Shortlisted
cv0602,"Experienced professional skilled in Python, SQL, Project Management, Machine Learning, React.","Python, SQL, Project Management, Machine Learning, React",B.Tech,15,Job_448,Data Scientist,"Leadership, Deep Learning, Python, Java, Machine Learning",0.64,Shortlisted
cv0603,"Experienced professional skilled in Java, SQL, Communication, React.","Java, SQL, Communication, React",M.Tech,12,Job_225,Backend Developer,"React, Project Management",0.7,Shortlisted
cv0604,"Experienced professional skilled in Node.js, Leadership, React, Java.","Node.js, Leadership, React, Java",MBA,9,Job_24,Frontend Developer,"Leadership, Communication, Agile, Machine Learning, Project Management",0.48,Rejected
cv0605,"Experienced professional skilled in Java, Leadership, Deep Learning, Node.js, Python.","Java, Leadership, Deep Learning, Node.js, Python",MBA,4,Job_401,Machine Learning Engineer,"Node.js, C++",0.46,Rejected
cv0606,"Experienced professional skilled in Agile, Project Management, SQL, Python.","Agile, Project Management, SQL, Python",MBA,8,Job_447,Project Manager,"Agile, Communication, Python, Deep Learning, SQL",0.68,Shortlisted
cv0607,"Experienced professional skilled in SQL, Scrum, Leadership, Java, Node.js.","SQL, Scrum, Leadership, Java, Node.js",B.Tech,11,Job_470,Frontend Developer,"Project Management, SQL, Java",0.8,Hired
cv0608,"Experienced professional skilled in SQL, C++, Agile.","SQL, C++, Agile",B.Sc,3,Job_474,Machine Learning Engineer,"Java, Scrum, Communication, C++, Leadership",0.24,Rejected
cv0609,"Experienced professional skilled in Java, Python, C++, SQL, Project Management.","Java, Python, C++, SQL, Project Management",B.Tech,12,Job_454,Data Scientist,"Project Management, Communication, Node.js, Deep Learning",0.55,Shortlisted
cv0610,"Experienced professional skilled in SQL, React, Java.","SQL, React, Java",B.Sc,6,Job_286,Frontend Developer,"Java, Deep Learning",0.54,Shortlisted
cv0611,"Experienced professional skilled in Java, Node.js, Deep Learning.","Java, Node.js, Deep Learning",B.Sc,9,Job_387,Software Engineer,"Agile, Scrum, Communication, Machine Learning",0.36,Rejected
cv0612,"Experienced professional skilled in Node.js, Scrum, Agile, Project Management, SQL, Deep Learning.","Node.js, Scrum, Agile, Project Management, SQL, Deep Learning",B.Tech,6,Job_255,Backend Developer,"Leadership, Machine Learning, Node.js, C++, React",0.36,Rejected
cv0613,"Experienced professional skilled in React, Communication, SQL, Leadership, Project Management.","React, Communication, SQL, Leadership, Project Management",M.Tech,12,Job_248,Software Engineer,"Scrum, Project Management, Deep Learning, React, Agile",0.64,Shortlisted
cv0614,"Experienced professional skilled in Agile, Scrum, Java.","Agile, Scrum, Java",B.Tech,11,Job_122,Data Scientist,"Node.js, React",0.4,Rejected
cv0615,"Experienced professional skilled in Java, Scrum, Deep Learning, Python, SQL.","Java, Scrum, Deep Learning, Python, SQL",MBA,12,Job_17,Frontend Developer,"Machine Learning, Leadership, Agile, Communication",0.4,Rejected
cv0616,"Experienced professional skilled in Python, Project Management, Leadership.","Python, Project Management, Leadership",MBA,10,Job_373,Frontend Developer,"Machine Learning, Deep Learning",0.4,Rejected
cv0617,"Experienced professional skilled in Machine Learning, Scrum, Node.js, Deep Learning, Project Management, Communication.","Machine Learning, Scrum, Node.js, Deep Learning, Project Management, Communication",M.Tech,13,Job_177,Data Scientist,"Machine Learning, Node.js, Java, Python",0.7,Shortlisted
cv0618,"Experienced professional skilled in Python, Machine Learning, Deep Learning, Project Management, Agile, C++.","Python, Machine Learning, Deep Learning, Project Management, Agile, C++",M.Tech,12,Job_24,Project Manager,"Node.js, Agile, Deep Learning, Python",0.85,Hired
cv0619,"Experienced professional skilled in Node.js, React, Project Management.","Node.js, React, Project Management",MBA,9,Job_425,Backend Developer,"Python, Node.js, Java, Project Management, Agile",0.6,Shortlisted
cv0620,"Experienced professional skilled in Scrum, React, Leadership, Communication, Java.","Scrum, React, Leadership, Communication, Java",B.Tech,13,Job_331,Project Manager,"Python, Scrum, Communication",0.8,Hired
